experiment_id,input,intended_output,observed_fluor,output_id,replicate,sample_id,strain,time
exp1,01,0,106.5099022338517,ts1,1,0,UWBF1,1
exp1,01,0,131.66426193719727,ts1,2,1,UWBF1,1
exp1,01,0,90.72970636849224,ts1,3,2,UWBF1,1
exp1,01,0,93.070113699232,ts1,4,3,UWBF1,1
exp1,01,0,80.88701269258729,ts1,5,4,UWBF1,1
exp1,00,1,751.8338438571567,ts1,1,5,UWBF1,2
exp1,00,1,666.7540071624549,ts1,2,6,UWBF1,2
exp1,00,1,1301.3600378074623,ts1,3,7,UWBF1,2
exp1,00,1,537.5774700384452,ts1,4,8,UWBF1,2
exp1,00,1,1010.9762170489981,ts1,5,9,UWBF1,2
exp1,00,1,1115.7789299816616,ts1,1,10,UWBF1,3
exp1,00,1,1148.351220457559,ts1,2,11,UWBF1,3
exp1,00,1,1164.5125123564071,ts1,3,12,UWBF1,3
exp1,00,1,977.9414280785394,ts1,4,13,UWBF1,3
exp1,00,1,1178.546152731614,ts1,5,14,UWBF1,3
exp1,00,1,1137.879072336596,ts2,1,15,UWBF1,1
exp1,00,1,914.7435771613286,ts2,2,16,UWBF1,1
exp1,00,1,979.8126649148943,ts2,3,17,UWBF1,1
exp1,00,1,1294.2884947893797,ts2,4,18,UWBF1,1
exp1,00,1,1132.7048125394274,ts2,5,19,UWBF1,1
exp1,01,0,98.25104129014463,ts2,1,20,UWBF1,2
exp1,01,0,132.58244796065304,ts2,2,21,UWBF1,2
exp1,01,0,149.16293680381523,ts2,3,22,UWBF1,2
exp1,01,0,123.14763715038895,ts2,4,23,UWBF1,2
exp1,01,0,88.42828731630456,ts2,5,24,UWBF1,2
exp1,01,0,100.2742041067805,ts2,1,25,UWBF1,3
exp1,01,0,101.66917024807614,ts2,2,26,UWBF1,3
exp1,01,0,61.985539293031024,ts2,3,27,UWBF1,3
exp1,01,0,92.69065666089814,ts2,4,28,UWBF1,3
exp1,01,0,99.64927163275597,ts2,5,29,UWBF1,3
exp1,01,0,134.26571651849977,ts1,1,30,UWBF2,1
